"yr","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal","NAO.ann.mean","NAO.ann.max","NAO.ann.min"
1821,NA,NA,NA,NA,NA,NA,NA
1822,NA,-1.15333333333333,-1.77666666666667,-0.926666666666667,NA,NA,NA
1823,NA,NA,1.38333333333333,-0.783333333333333,NA,NA,NA
1824,-0.45,-0.38,-0.88,NA,NA,NA,NA
1825,0.103333333333333,0.0866666666666667,-0.146666666666667,0.576666666666667,0.16,1.98,-1.31
1826,0.283333333333333,0.47,1.28333333333333,-0.94,0.27,4.87,-3.05
1827,-0.78,0.1,-0.536666666666667,-0.58,-0.45,2.7,-3.72
1828,0.486666666666667,-0.96,-3.24,0.19,-0.88,3.04,-4.4
1829,-1.56666666666667,0.606666666666667,0.626666666666667,-0.0166666666666667,-0.09,1.8,-2.54
1830,0.816666666666667,0.726666666666667,1.62666666666667,0.366666666666667,0.88,3.58,-3.13
1831,-0.0100000000000001,-2.32666666666667,-0.62,0.49,-0.62,2.71,-3.15
1832,0.97,-2.36333333333333,-0.0666666666666666,2.06333333333333,0.15,3.32,-3.62
1833,-0.243333333333333,0.396666666666667,-0.846666666666667,1.27333333333333,0.15,4.17,-2.89
1834,2.36666666666667,-1.04666666666667,-0.736666666666667,-0.623333333333333,-0.01,3.07,-2.38
1835,1.76,-0.113333333333333,1.07,-1.02333333333333,0.42,3.37,-1.46
1836,1.27,0.773333333333333,1.84666666666667,-0.18,0.93,4.33,-1.59
1837,0.143333333333333,-1.52,-0.74,1.74333333333333,-0.09,4.67,-3.08
1838,-0.913333333333333,-0.51,0.91,0.163333333333333,-0.09,2.55,-2.65
1839,2.07666666666667,0.156666666666667,0.756666666666667,-1.59666666666667,0.35,4.2,-2.89
1840,-0.16,0.0666666666666667,0.58,-1.49,-0.25,2.97,-3.05
1841,0.11,1.00333333333333,-0.33,-0.0533333333333333,0.18,2.41,-2.76
1842,3.38,-1.86333333333333,-2.27333333333333,-1.96,-0.68,4.26,-4.3
1843,-0.603333333333333,-0.126666666666667,2.22333333333333,0.7,0.55,3.99,-3.51
1844,0.466666666666667,0.34,-0.723333333333333,-0.97,-0.22,3.91,-2.77
1845,0.23,0.553333333333333,-0.226666666666667,0.82,0.34,2.07,-0.97
1846,1.54666666666667,0.0733333333333333,0.453333333333333,-1.04333333333333,0.26,2.84,-2.55
1847,-0.486666666666667,0.89,0.52,1.55333333333333,0.62,2.46,-1.59
1848,0.58,-0.703333333333333,0.653333333333333,-0.243333333333333,0.07,2.64,-2.55
1849,1.54333333333333,-1.57333333333333,-0.11,-0.173333333333333,-0.08,2.77,-3.21
1850,0.583333333333333,0.07,-0.54,0.683333333333333,0.2,4.13,-2.7
1851,1.94,-1.60333333333333,0.38,0.25,0.24,4.68,-5.39
1852,-0.21,-0.42,-0.07,-0.516666666666667,-0.3,2.94,-2.5
1853,-1.01666666666667,-0.44,-0.273333333333333,-1.41333333333333,-0.79,1.76,-4.28
1854,1.89,0.286666666666667,0.223333333333333,0.656666666666667,0.76,2.67,-1.92
1855,-1.89666666666667,-0.17,0.663333333333333,-1.72333333333333,-0.78,3.81,-3.8
1856,-1.20666666666667,1.11,-0.366666666666667,-0.266666666666667,-0.18,2.03,-2.27
1857,0.806666666666667,0.0166666666666667,2.53,0.543333333333333,0.97,5.36,-1.68
1858,0.16,0.51,0.27,-1.08666666666667,-0.04,3.01,-4.41
1859,2.20333333333333,-0.603333333333333,1.39,-1.21,0.44,2.74,-2.61
1860,0.98,-1.4,-1.11666666666667,-1.1,-0.66,2.28,-3.44
1861,0.766666666666667,-1.63,0.93,-1.21666666666667,-0.29,2.91,-1.99
1862,-0.786666666666667,0.356666666666667,-1.67,1.39333333333333,-0.18,2.92,-2.25
1863,2.03333333333333,0.09,0.71,1.06666666666667,0.98,3.1,-1.49
1864,-0.00666666666666675,0.0533333333333333,0.47,-2.27,-0.44,2.03,-6.05
1865,-0.433333333333333,0.843333333333333,0.983333333333333,-0.0766666666666668,0.33,3.24,-2.66
1866,0.22,-0.866666666666667,0.86,1.04,0.31,2.14,-2.1
1867,-0.523333333333333,-0.156666666666667,0.82,-0.443333333333333,-0.07,3.63,-3.03
1868,2.78333333333333,1.99,0.526666666666667,1.01666666666667,1.58,3.95,-2.65
1869,1.74666666666667,-0.0233333333333333,0.686666666666667,-0.23,0.54,3.9,-1.98
1870,-1.24333333333333,1.67666666666667,-0.686666666666667,-1.42,-0.42,2.92,-3.52
1871,1.17666666666667,-1.39666666666667,1.33666666666667,-1.59666666666667,-0.12,4.19,-3.72
1872,0.133333333333333,-0.35,-2.52333333333333,-0.443333333333333,-0.8,1.15,-3.61
1873,0.696666666666667,-0.773333333333333,0.916666666666667,-0.343333333333333,0.12,3.44,-2.23
1874,1.7,0.126666666666667,0.58,-0.533333333333333,0.47,2.99,-2.12
1875,-0.00666666666666664,0.646666666666667,0.0866666666666667,-1.15666666666667,-0.11,2.06,-2.8
1876,0.52,-0.136666666666667,0.626666666666667,-1.89,-0.22,3.48,-2.62
1877,1.3,-1.45,-1.46333333333333,1.82333333333333,0.05,2.39,-3.74
1878,1.12333333333333,-0.27,-1.78,-2.74,-0.92,2.2,-3.47
1879,0.02,0.0766666666666667,0.0133333333333333,-1.56,-0.36,1.9,-3.38
1880,0.8,0.11,-0.47,-0.496666666666667,-0.01,1.92,-3.2
1881,-1.91,-0.196666666666667,0.756666666666667,1.69,0.09,4.34,-3.6
1882,3.29333333333333,-0.58,1.35,0.323333333333333,1.09,3.61,-1.69
1883,0.96,-0.47,0.406666666666667,1.65,0.64,4.25,-3.04
1884,1.66333333333333,-0.676666666666667,0.986666666666667,0.35,0.58,3.32,-2.36
1885,-0.59,0.756666666666667,1.14666666666667,-0.543333333333333,0.19,3.07,-1.06
1886,-0.413333333333333,-1.07,0.166666666666667,0.04,-0.32,2.43,-1.59
1887,1.02666666666667,-0.536666666666667,-1.05666666666667,-2.00333333333333,-0.64,2.03,-3.25
1888,-1.18,-0.993333333333333,1.19333333333333,1.02,0.01,4,-2.25
1889,0.186666666666667,0.85,0.256666666666667,1.25666666666667,0.64,3.78,-1.98
1890,1.15,0.00333333333333336,1.26333333333333,-3.70074341541719e-17,0.6,4.32,-2.75
1891,0.636666666666667,-2.14666666666667,1.32333333333333,0.29,0.03,2.86,-3.74
1892,-1.50333333333333,-0.726666666666667,0.983333333333333,-1.30666666666667,-0.64,1.61,-3.68
1893,0.296666666666667,-0.05,-0.663333333333333,0.00666666666666665,-0.1,2.54,-2.16
1894,2.15666666666667,1.12666666666667,-0.0333333333333333,0.22,0.87,3.95,-2.24
1895,-2.34,0.226666666666667,1.36,-0.196666666666667,-0.24,1.92,-4.14
1896,1.16333333333333,0.46,0.27,-0.486666666666667,0.35,2.54,-2.77
1897,1.09,0.78,1.28,0.256666666666667,0.85,4.28,-2.36
1898,0.513333333333333,0.696666666666667,0.62,0.283333333333333,0.53,3.56,-2.33
1899,-0.33,-0.233333333333333,0.416666666666667,0.316666666666667,0.04,2.46,-1.5
1900,-1.36666666666667,0.27,0.236666666666667,1.19333333333333,0.08,3.5,-3.12
1901,-0.836666666666667,0.676666666666667,-0.26,-1.19333333333333,-0.4,2.53,-2.58
1902,0.17,-1.28333333333333,-0.976666666666667,0.353333333333333,-0.43,1.41,-3.25
1903,3.39666666666667,-1.15,1.44,-0.2,0.87,4.86,-2.8
1904,0.916666666666667,1.17333333333333,0.0466666666666667,0.33,0.62,2.64,-0.87
1905,2.04333333333333,-1.39333333333333,0.243333333333333,-0.5,0.1,2.23,-3.1
1906,1.21666666666667,-0.586666666666667,0.113333333333333,0.376666666666667,0.28,2.64,-1.75
1907,1.73666666666667,0.14,0.636666666666667,-0.273333333333333,0.56,2.41,-1.59
1908,1.12,0.333333333333333,0.556666666666667,0.5,0.63,1.98,-1.75
1909,-0.27,-0.736666666666667,1.21666666666667,-0.62,-0.1,2.59,-2.09
1910,2.32333333333333,-0.83,-0.826666666666667,-0.843333333333333,-0.05,3.85,-1.64
1911,0.49,0.323333333333333,0.733333333333333,0.363333333333333,0.48,3.02,-1.88
1912,0.38,0.206666666666667,-1.28666666666667,1.54333333333333,0.21,3,-2.51
1913,1.91666666666667,1.13333333333333,-1.01333333333333,1.45666666666667,0.87,4.62,-2.7
1914,1.58333333333333,1.61333333333333,0.0966666666666666,-0.0933333333333333,0.8,2.45,-1.41
1915,-0.00333333333333329,-0.62,-1.47333333333333,-1.38333333333333,-0.87,2.91,-2.51
1916,0.67,-0.993333333333333,-1.28333333333333,-0.0599999999999999,-0.42,3.82,-3.84
1917,-1.62666666666667,-0.566666666666667,0.623333333333333,0.04,-0.38,2.47,-3.08
1918,1.25333333333333,-0.123333333333333,-0.126666666666667,1.04666666666667,0.51,3.87,-1.97
1919,-0.25,1.64333333333333,0.476666666666667,-0.483333333333333,0.35,4.03,-2.24
1920,2.43666666666667,-0.256666666666667,0.353333333333333,-0.0433333333333333,0.62,3.08,-1.62
1921,1.98333333333333,-0.776666666666667,-0.83,0.246666666666667,0.16,3.2,-1.6
1922,1.12666666666667,1.31666666666667,0.483333333333333,-0.843333333333333,0.52,2.97,-3.95
1923,1.50333333333333,-0.103333333333333,1.65333333333333,0.206666666666667,0.82,2.77,-1.97
1924,-0.88,-1.19333333333333,0.636666666666667,1.38333333333333,-0.01,3.86,-2.09
1925,1.39333333333333,0.503333333333333,0.713333333333333,-1.43333333333333,0.29,4.23,-2.6
1926,1.36666666666667,-0.216666666666667,0.763333333333333,-1.51666666666667,0.1,2.33,-4.16
1927,1.94,-0.746666666666667,-0.11,-2.14333333333333,-0.26,2.58,-3.14
1928,1.87333333333333,-1.23333333333333,-0.506666666666667,0.756666666666667,0.22,3.52,-2.9
1929,-0.49,-1.06333333333333,0.146666666666667,2.08,0.17,3.8,-3.8
1930,0.07,-0.22,-0.52,1.18,0.13,1.84,-2.13
1931,-0.326666666666667,-0.553333333333333,-1.55333333333333,1.14666666666667,-0.32,2.78,-2.73
1932,-0.47,-0.67,0.15,0.75,-0.06,3.47,-3.31
1933,0.286666666666667,-0.8,1.08,-2.26666666666667,-0.42,2.65,-2.97
1934,1.35333333333333,-0.916666666666667,0.946666666666667,0.286666666666667,0.42,3.27,-2.49
1935,0.863333333333333,-0.76,0.676666666666667,0.213333333333333,0.25,2.7,-3.21
1936,-1.58333333333333,-1.04,1.06666666666667,1.02333333333333,-0.13,2.67,-2.44
1937,0.62,1.66333333333333,0.1,-1.68666666666667,0.17,2.31,-2.41
1938,2.12333333333333,-0.353333333333333,0.313333333333333,1.57666666666667,0.92,3.24,-1.68
1939,0.73,-0.706666666666667,-1.18,-0.683333333333333,-0.46,2.91,-3.9
1940,-1.30666666666667,-0.306666666666667,-0.67,0.29,-0.5,1.46,-2.27
1941,-1.73666666666667,-1.08333333333333,-0.163333333333333,0.0466666666666667,-0.73,1.44,-3.5
1942,-1.09,-0.743333333333333,-0.00666666666666667,-0.283333333333333,-0.53,1.47,-3.1
1943,1.32666666666667,2.78,-0.26,0.0466666666666667,0.97,4.26,-0.65
1944,0.406666666666667,-0.353333333333333,-0.55,0.08,-0.1,3.63,-2.78
1945,1.68666666666667,0.226666666666667,-0.276666666666667,-0.763333333333333,0.22,4.67,-2.12
1946,0.67,0.17,1.75333333333333,-0.693333333333333,0.47,2.66,-2.7
1947,-1.83,1.88666666666667,0.0966666666666666,-0.493333333333333,-0.09,6.66,-4.6
1948,1.89,-0.66,0.583333333333333,1.38666666666667,0.8,3.48,-1.23
1949,1.51666666666667,0.17,-0.453333333333333,0.676666666666667,0.48,4.01,-1.81
1950,1.56,0.38,0.12,-0.106666666666667,0.49,3.31,-1.88
1951,-0.0866666666666666,-1.24,0.576666666666667,0.48,-0.07,2.54,-2.11
1952,-0.0233333333333333,0.623333333333333,-1.62,-0.466666666666667,-0.37,2.79,-3.02
1953,0.59,-1.77,1.38,1.39,0.4,3.26,-2.96
1954,0.126666666666667,-0.703333333333333,0.926666666666667,1.69,0.51,2.49,-0.94
1955,-2.09333333333333,0.85,0.0133333333333333,-1.32666666666667,-0.64,2.4,-2.9
1956,-1.23666666666667,1.3,-1.10333333333333,1.73,0.17,4.54,-3.15
1957,1.34333333333333,-0.753333333333333,-0.446666666666667,-0.213333333333333,-0.02,2.53,-1.59
1958,-0.313333333333333,0.483333333333333,0.183333333333333,0.126666666666667,0.12,1.79,-1.7
1959,1.04333333333333,0.266666666666667,-0.5,1.15,0.49,2.46,-2.22
1960,-0.856666666666667,0.53,-0.473333333333333,-0.406666666666667,-0.3,1.93,-3.08
1961,2.53333333333333,0.633333333333333,2.00666666666667,-0.956666666666667,1.05,4.06,-2.15
1962,-0.19,0.683333333333333,0.0666666666666666,-1.07666666666667,-0.13,2.44,-3.78
1963,-1.06666666666667,-0.106666666666667,-0.223333333333333,-0.15,-0.39,2.79,-4.09
1964,0.01,0.536666666666667,0.16,0.24,0.24,2.51,-2.46
1965,-0.93,0.976666666666667,-0.376666666666667,-0.6,-0.23,2.14,-3.03
1966,-0.113333333333333,1.17,-1.49666666666667,-0.426666666666667,-0.22,1.68,-2.89
1967,1.58,0.246666666666667,0.45,-0.0333333333333333,0.56,3,-0.91
1968,0.153333333333333,-0.42,-0.97,-1.23333333333333,-0.62,1.65,-2
1969,-2.20333333333333,-0.0966666666666666,0.82,-0.28,-0.44,3.7,-3.16
1970,-0.613333333333333,1.42666666666667,0.18,-0.273333333333333,0.18,2.52,-1.78
1971,-0.326666666666667,-1.69666666666667,-0.503333333333333,0.31,-0.55,1.63,-3.15
1972,-0.153333333333333,0.843333333333333,-1.19666666666667,0.336666666666667,-0.04,2.11,-4.11
1973,1.21,-0.47,-0.106666666666667,-0.98,-0.09,2.32,-2.61
1974,1.20666666666667,-0.816666666666667,1.02333333333333,0.963333333333333,0.59,3.75,-2.3
1975,0.523333333333333,-1.02666666666667,0.82,-0.106666666666667,0.05,2.43,-2.42
1976,1.30333333333333,0.476666666666667,-1.13666666666667,-0.923333333333333,-0.07,1.87,-3.63
1977,-0.25,-0.48,-0.306666666666667,0.19,-0.21,1.64,-2.36
1978,0.523333333333333,-0.87,0.56,0.616666666666667,0.21,3.91,-3.12
1979,-1.1,0.22,0.933333333333333,0.69,0.19,2.53,-3.22
1980,-0.593333333333333,-0.813333333333333,0.37,-0.46,-0.37,1.72,-2.26
1981,0.683333333333333,-1.52,1.00666666666667,-0.533333333333333,-0.09,1.74,-3.04
1982,1.06333333333333,-0.583333333333333,0.626666666666667,1.55666666666667,0.67,2.64,-1.86
1983,1.78666666666667,-0.346666666666667,-0.28,0.203333333333333,0.34,4.82,-2.28
1984,0.713333333333333,-0.56,0.206666666666667,0.673333333333333,0.26,2.53,-2.34
1985,-1.01333333333333,-0.956666666666667,1.14,-1.04666666666667,-0.47,2.33,-2.87
1986,0.1,-0.02,-0.89,3.03333333333333,0.56,3.42,-4.02
1987,-0.69,0.4,-0.99,-0.76,-0.51,2.59,-2.99
1988,0.4,-2.12666666666667,0.996666666666667,-0.546666666666667,-0.32,1.85,-2.75
1989,3.19666666666667,0.05,0.46,-1.44,0.57,3.61,-2.97
1990,3.90666666666667,0.333333333333333,1.25,-0.576666666666667,1.23,5.11,-1.48
1991,0.16,0.376666666666667,0.436666666666667,0.383333333333333,0.34,2.71,-1.77
1992,1.82666666666667,0.123333333333333,2,0.466666666666667,1.11,4.52,-3.33
1993,1.83,-0.533333333333333,-0.403333333333333,-0.396666666666667,0.12,3.91,-4.13
1994,1.67666666666667,0.976666666666667,-1.51,0.886666666666667,0.51,3.68,-2.85
1995,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36
1996,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7
1997,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05
1998,1.13333333333333,-0.833333333333333,-0.75,1.47333333333333,0.25,2.44,-3.48
1999,0.66,0.95,-2.01,0.58,0.04,2.13,-3.67
2000,1.75333333333333,-0.713333333333333,-1.10333333333333,-0.0933333333333333,-0.04,4.37,-3.34
2001,-0.196666666666667,-0.06,-1.10333333333333,-0.453333333333333,-0.45,1.64,-3.83
2002,1.80333333333333,0.586666666666667,-1.63333333333333,-0.916666666666667,-0.04,3.01,-3.58
2003,0.856666666666667,-0.476666666666667,-0.183333333333333,-1.40666666666667,-0.3,1.34,-3.68
2004,0.0133333333333334,0.01,0.483333333333333,-0.486666666666667,0.01,2.51,-2.18
2005,-0.573333333333333,-0.14,0.453333333333333,-0.756666666666667,-0.26,1.82,-2.25
2006,-0.82,-0.02,-0.886666666666667,1.02,-0.18,3.03,-2.47
2007,1.40333333333333,-0.94,-1.88,-0.11,-0.38,2.03,-3.41
2008,1.33666666666667,-2.3,-1.13666666666667,-0.623333333333333,-0.68,1.85,-3.26
2009,-0.226666666666667,0.0700000000000001,-0.16,-1.19333333333333,-0.38,1.74,-3.73
2010,-2.36666666666667,-2.11333333333333,-1.44333333333333,-3.45333333333333,-2.35,0.06,-4.61
2011,0.413333333333333,0.63,-0.943333333333333,1.75,0.46,3.2,-3.39
2012,1.70333333333333,-1.92333333333333,-1.06333333333333,-1.24,-0.63,2.05,-3.21
2013,-0.976666666666667,0.886666666666667,1.37,1.07333333333333,0.59,3.54,-3.75
2014,1.55666666666667,-0.406666666666667,-0.776666666666667,0.00999999999999999,0.1,2.32,-2.17
2015,2.09,1.13333333333333,-0.78,2.21,1.16,4.22,-2.16
2016,1.03666666666667,-1.38666666666667,2.26,-0.326666666666667,0.39,2.45,-2.06
2017,0.866666666666667,NA,NA,NA,NA,NA,NA
