"yr","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal"
1821,NA,NA,NA,NA
1822,NA,-1.15333333333333,-1.77666666666667,-0.926666666666667
1823,NA,NA,1.38333333333333,-0.783333333333333
1824,-0.45,-0.38,-0.88,NA
1825,0.103333333333333,0.0866666666666667,-0.146666666666667,0.576666666666667
1826,0.283333333333333,0.47,1.28333333333333,-0.94
1827,-0.78,0.1,-0.536666666666667,-0.58
1828,0.486666666666667,-0.96,-3.24,0.19
1829,-1.56666666666667,0.606666666666667,0.626666666666667,-0.0166666666666667
1830,0.816666666666667,0.726666666666667,1.62666666666667,0.366666666666667
1831,-0.0100000000000001,-2.32666666666667,-0.62,0.49
1832,0.97,-2.36333333333333,-0.0666666666666666,2.06333333333333
1833,-0.243333333333333,0.396666666666667,-0.846666666666667,1.27333333333333
1834,2.36666666666667,-1.04666666666667,-0.736666666666667,-0.623333333333333
1835,1.76,-0.113333333333333,1.07,-1.02333333333333
1836,1.27,0.773333333333333,1.84666666666667,-0.18
1837,0.143333333333333,-1.52,-0.74,1.74333333333333
1838,-0.913333333333333,-0.51,0.91,0.163333333333333
1839,2.07666666666667,0.156666666666667,0.756666666666667,-1.59666666666667
1840,-0.16,0.0666666666666667,0.58,-1.49
1841,0.11,1.00333333333333,-0.33,-0.0533333333333333
1842,3.38,-1.86333333333333,-2.27333333333333,-1.96
1843,-0.603333333333333,-0.126666666666667,2.22333333333333,0.7
1844,0.466666666666667,0.34,-0.723333333333333,-0.97
1845,0.23,0.553333333333333,-0.226666666666667,0.82
1846,1.54666666666667,0.0733333333333333,0.453333333333333,-1.04333333333333
1847,-0.486666666666667,0.89,0.52,1.55333333333333
1848,0.58,-0.703333333333333,0.653333333333333,-0.243333333333333
1849,1.54333333333333,-1.57333333333333,-0.11,-0.173333333333333
1850,0.583333333333333,0.07,-0.54,0.683333333333333
1851,1.94,-1.60333333333333,0.38,0.25
1852,-0.21,-0.42,-0.07,-0.516666666666667
1853,-1.01666666666667,-0.44,-0.273333333333333,-1.41333333333333
1854,1.89,0.286666666666667,0.223333333333333,0.656666666666667
1855,-1.89666666666667,-0.17,0.663333333333333,-1.72333333333333
1856,-1.20666666666667,1.11,-0.366666666666667,-0.266666666666667
1857,0.806666666666667,0.0166666666666667,2.53,0.543333333333333
1858,0.16,0.51,0.27,-1.08666666666667
1859,2.20333333333333,-0.603333333333333,1.39,-1.21
1860,0.98,-1.4,-1.11666666666667,-1.1
1861,0.766666666666667,-1.63,0.93,-1.21666666666667
1862,-0.786666666666667,0.356666666666667,-1.67,1.39333333333333
1863,2.03333333333333,0.09,0.71,1.06666666666667
1864,-0.00666666666666675,0.0533333333333333,0.47,-2.27
1865,-0.433333333333333,0.843333333333333,0.983333333333333,-0.0766666666666668
1866,0.22,-0.866666666666667,0.86,1.04
1867,-0.523333333333333,-0.156666666666667,0.82,-0.443333333333333
1868,2.78333333333333,1.99,0.526666666666667,1.01666666666667
1869,1.74666666666667,-0.0233333333333333,0.686666666666667,-0.23
1870,-1.24333333333333,1.67666666666667,-0.686666666666667,-1.42
1871,1.17666666666667,-1.39666666666667,1.33666666666667,-1.59666666666667
1872,0.133333333333333,-0.35,-2.52333333333333,-0.443333333333333
1873,0.696666666666667,-0.773333333333333,0.916666666666667,-0.343333333333333
1874,1.7,0.126666666666667,0.58,-0.533333333333333
1875,-0.00666666666666664,0.646666666666667,0.0866666666666667,-1.15666666666667
1876,0.52,-0.136666666666667,0.626666666666667,-1.89
1877,1.3,-1.45,-1.46333333333333,1.82333333333333
1878,1.12333333333333,-0.27,-1.78,-2.74
1879,0.02,0.0766666666666667,0.0133333333333333,-1.56
1880,0.8,0.11,-0.47,-0.496666666666667
1881,-1.91,-0.196666666666667,0.756666666666667,1.69
1882,3.29333333333333,-0.58,1.35,0.323333333333333
1883,0.96,-0.47,0.406666666666667,1.65
1884,1.66333333333333,-0.676666666666667,0.986666666666667,0.35
1885,-0.59,0.756666666666667,1.14666666666667,-0.543333333333333
1886,-0.413333333333333,-1.07,0.166666666666667,0.04
1887,1.02666666666667,-0.536666666666667,-1.05666666666667,-2.00333333333333
1888,-1.18,-0.993333333333333,1.19333333333333,1.02
1889,0.186666666666667,0.85,0.256666666666667,1.25666666666667
1890,1.15,0.00333333333333336,1.26333333333333,-3.70074341541719e-17
1891,0.636666666666667,-2.14666666666667,1.32333333333333,0.29
1892,-1.50333333333333,-0.726666666666667,0.983333333333333,-1.30666666666667
1893,0.296666666666667,-0.05,-0.663333333333333,0.00666666666666665
1894,2.15666666666667,1.12666666666667,-0.0333333333333333,0.22
1895,-2.34,0.226666666666667,1.36,-0.196666666666667
1896,1.16333333333333,0.46,0.27,-0.486666666666667
1897,1.09,0.78,1.28,0.256666666666667
1898,0.513333333333333,0.696666666666667,0.62,0.283333333333333
1899,-0.33,-0.233333333333333,0.416666666666667,0.316666666666667
1900,-1.36666666666667,0.27,0.236666666666667,1.19333333333333
1901,-0.836666666666667,0.676666666666667,-0.26,-1.19333333333333
1902,0.17,-1.28333333333333,-0.976666666666667,0.353333333333333
1903,3.39666666666667,-1.15,1.44,-0.2
1904,0.916666666666667,1.17333333333333,0.0466666666666667,0.33
1905,2.04333333333333,-1.39333333333333,0.243333333333333,-0.5
1906,1.21666666666667,-0.586666666666667,0.113333333333333,0.376666666666667
1907,1.73666666666667,0.14,0.636666666666667,-0.273333333333333
1908,1.12,0.333333333333333,0.556666666666667,0.5
1909,-0.27,-0.736666666666667,1.21666666666667,-0.62
1910,2.32333333333333,-0.83,-0.826666666666667,-0.843333333333333
1911,0.49,0.323333333333333,0.733333333333333,0.363333333333333
1912,0.38,0.206666666666667,-1.28666666666667,1.54333333333333
1913,1.91666666666667,1.13333333333333,-1.01333333333333,1.45666666666667
1914,1.58333333333333,1.61333333333333,0.0966666666666666,-0.0933333333333333
1915,-0.00333333333333329,-0.62,-1.47333333333333,-1.38333333333333
1916,0.67,-0.993333333333333,-1.28333333333333,-0.0599999999999999
1917,-1.62666666666667,-0.566666666666667,0.623333333333333,0.04
1918,1.25333333333333,-0.123333333333333,-0.126666666666667,1.04666666666667
1919,-0.25,1.64333333333333,0.476666666666667,-0.483333333333333
1920,2.43666666666667,-0.256666666666667,0.353333333333333,-0.0433333333333333
1921,1.98333333333333,-0.776666666666667,-0.83,0.246666666666667
1922,1.12666666666667,1.31666666666667,0.483333333333333,-0.843333333333333
1923,1.50333333333333,-0.103333333333333,1.65333333333333,0.206666666666667
1924,-0.88,-1.19333333333333,0.636666666666667,1.38333333333333
1925,1.39333333333333,0.503333333333333,0.713333333333333,-1.43333333333333
1926,1.36666666666667,-0.216666666666667,0.763333333333333,-1.51666666666667
1927,1.94,-0.746666666666667,-0.11,-2.14333333333333
1928,1.87333333333333,-1.23333333333333,-0.506666666666667,0.756666666666667
1929,-0.49,-1.06333333333333,0.146666666666667,2.08
1930,0.07,-0.22,-0.52,1.18
1931,-0.326666666666667,-0.553333333333333,-1.55333333333333,1.14666666666667
1932,-0.47,-0.67,0.15,0.75
1933,0.286666666666667,-0.8,1.08,-2.26666666666667
1934,1.35333333333333,-0.916666666666667,0.946666666666667,0.286666666666667
1935,0.863333333333333,-0.76,0.676666666666667,0.213333333333333
1936,-1.58333333333333,-1.04,1.06666666666667,1.02333333333333
1937,0.62,1.66333333333333,0.1,-1.68666666666667
1938,2.12333333333333,-0.353333333333333,0.313333333333333,1.57666666666667
1939,0.73,-0.706666666666667,-1.18,-0.683333333333333
1940,-1.30666666666667,-0.306666666666667,-0.67,0.29
1941,-1.73666666666667,-1.08333333333333,-0.163333333333333,0.0466666666666667
1942,-1.09,-0.743333333333333,-0.00666666666666667,-0.283333333333333
1943,1.32666666666667,2.78,-0.26,0.0466666666666667
1944,0.406666666666667,-0.353333333333333,-0.55,0.08
1945,1.68666666666667,0.226666666666667,-0.276666666666667,-0.763333333333333
1946,0.67,0.17,1.75333333333333,-0.693333333333333
1947,-1.83,1.88666666666667,0.0966666666666666,-0.493333333333333
1948,1.89,-0.66,0.583333333333333,1.38666666666667
1949,1.51666666666667,0.17,-0.453333333333333,0.676666666666667
1950,1.56,0.38,0.12,-0.106666666666667
1951,-0.0866666666666666,-1.24,0.576666666666667,0.48
1952,-0.0233333333333333,0.623333333333333,-1.62,-0.466666666666667
1953,0.59,-1.77,1.38,1.39
1954,0.126666666666667,-0.703333333333333,0.926666666666667,1.69
1955,-2.09333333333333,0.85,0.0133333333333333,-1.32666666666667
1956,-1.23666666666667,1.3,-1.10333333333333,1.73
1957,1.34333333333333,-0.753333333333333,-0.446666666666667,-0.213333333333333
1958,-0.313333333333333,0.483333333333333,0.183333333333333,0.126666666666667
1959,1.04333333333333,0.266666666666667,-0.5,1.15
1960,-0.856666666666667,0.53,-0.473333333333333,-0.406666666666667
1961,2.53333333333333,0.633333333333333,2.00666666666667,-0.956666666666667
1962,-0.19,0.683333333333333,0.0666666666666666,-1.07666666666667
1963,-1.06666666666667,-0.106666666666667,-0.223333333333333,-0.15
1964,0.01,0.536666666666667,0.16,0.24
1965,-0.93,0.976666666666667,-0.376666666666667,-0.6
1966,-0.113333333333333,1.17,-1.49666666666667,-0.426666666666667
1967,1.58,0.246666666666667,0.45,-0.0333333333333333
1968,0.153333333333333,-0.42,-0.97,-1.23333333333333
1969,-2.20333333333333,-0.0966666666666666,0.82,-0.28
1970,-0.613333333333333,1.42666666666667,0.18,-0.273333333333333
1971,-0.326666666666667,-1.69666666666667,-0.503333333333333,0.31
1972,-0.153333333333333,0.843333333333333,-1.19666666666667,0.336666666666667
1973,1.21,-0.47,-0.106666666666667,-0.98
1974,1.20666666666667,-0.816666666666667,1.02333333333333,0.963333333333333
1975,0.523333333333333,-1.02666666666667,0.82,-0.106666666666667
1976,1.30333333333333,0.476666666666667,-1.13666666666667,-0.923333333333333
1977,-0.25,-0.48,-0.306666666666667,0.19
1978,0.523333333333333,-0.87,0.56,0.616666666666667
1979,-1.1,0.22,0.933333333333333,0.69
1980,-0.593333333333333,-0.813333333333333,0.37,-0.46
1981,0.683333333333333,-1.52,1.00666666666667,-0.533333333333333
1982,1.06333333333333,-0.583333333333333,0.626666666666667,1.55666666666667
1983,1.78666666666667,-0.346666666666667,-0.28,0.203333333333333
1984,0.713333333333333,-0.56,0.206666666666667,0.673333333333333
1985,-1.01333333333333,-0.956666666666667,1.14,-1.04666666666667
1986,0.1,-0.02,-0.89,3.03333333333333
1987,-0.69,0.4,-0.99,-0.76
1988,0.4,-2.12666666666667,0.996666666666667,-0.546666666666667
1989,3.19666666666667,0.05,0.46,-1.44
1990,3.90666666666667,0.333333333333333,1.25,-0.576666666666667
1991,0.16,0.376666666666667,0.436666666666667,0.383333333333333
1992,1.82666666666667,0.123333333333333,2,0.466666666666667
1993,1.83,-0.533333333333333,-0.403333333333333,-0.396666666666667
1994,1.67666666666667,0.976666666666667,-1.51,0.886666666666667
1995,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333
1996,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667
1997,1.8,-2.12333333333333,0.763333333333333,-1.15
1998,1.13333333333333,-0.833333333333333,-0.75,1.47333333333333
1999,0.66,0.95,-2.01,0.58
2000,1.75333333333333,-0.713333333333333,-1.10333333333333,-0.0933333333333333
2001,-0.196666666666667,-0.06,-1.10333333333333,-0.453333333333333
2002,1.80333333333333,0.586666666666667,-1.63333333333333,-0.916666666666667
2003,0.856666666666667,-0.476666666666667,-0.183333333333333,-1.40666666666667
2004,0.0133333333333334,0.01,0.483333333333333,-0.486666666666667
2005,-0.573333333333333,-0.14,0.453333333333333,-0.756666666666667
2006,-0.82,-0.02,-0.886666666666667,1.02
2007,1.40333333333333,-0.94,-1.88,-0.11
2008,1.33666666666667,-2.3,-1.13666666666667,-0.623333333333333
2009,-0.226666666666667,0.0700000000000001,-0.16,-1.19333333333333
2010,-2.36666666666667,-2.11333333333333,-1.44333333333333,-3.45333333333333
2011,0.413333333333333,0.63,-0.943333333333333,1.75
2012,1.70333333333333,-1.92333333333333,-1.06333333333333,-1.24
2013,-0.976666666666667,0.886666666666667,1.37,1.07333333333333
2014,1.55666666666667,-0.406666666666667,-0.776666666666667,0.00999999999999999
2015,2.09,1.13333333333333,-0.78,2.21
2016,1.03666666666667,-1.38666666666667,2.26,-0.326666666666667
2017,0.866666666666667,NA,NA,NA
