"soi.date.orig","soi","yr","mo.no.char","mo.no","mo.char"
195101,1.5,NA,NA,NA,NA
195102,0.9,NA,NA,NA,NA
195103,-0.1,NA,NA,NA,NA
195104,-0.3,NA,NA,NA,NA
195105,-0.7,NA,NA,NA,NA
195106,0.2,NA,NA,NA,NA
195107,-1,NA,NA,NA,NA
195108,-0.2,NA,NA,NA,NA
195109,-1.1,NA,NA,NA,NA
195110,-1,NA,NA,NA,NA
195111,-0.8,NA,NA,NA,NA
195112,-0.7,NA,NA,NA,NA
195201,-0.9,NA,NA,NA,NA
195202,-0.6,NA,NA,NA,NA
195203,0.5,NA,NA,NA,NA
195204,-0.2,NA,NA,NA,NA
195205,0.8,NA,NA,NA,NA
195206,0.7,NA,NA,NA,NA
195207,0.5,NA,NA,NA,NA
195208,0.1,NA,NA,NA,NA
195209,-0.2,NA,NA,NA,NA
195210,0.4,NA,NA,NA,NA
195211,0,NA,NA,NA,NA
195212,-1.2,NA,NA,NA,NA
195301,0.3,NA,NA,NA,NA
195302,-0.5,NA,NA,NA,NA
195303,-0.2,NA,NA,NA,NA
195304,0.2,NA,NA,NA,NA
195305,-1.7,NA,NA,NA,NA
195306,0.1,NA,NA,NA,NA
195307,0,NA,NA,NA,NA
195308,-1.2,NA,NA,NA,NA
195309,-1.2,NA,NA,NA,NA
195310,0.1,NA,NA,NA,NA
195311,-0.3,NA,NA,NA,NA
195312,-0.5,NA,NA,NA,NA
195401,0.7,NA,NA,NA,NA
195402,-0.3,NA,NA,NA,NA
195403,0.3,NA,NA,NA,NA
195404,0.6,NA,NA,NA,NA
195405,0.5,NA,NA,NA,NA
195406,0.1,NA,NA,NA,NA
195407,0.4,NA,NA,NA,NA
195408,1.1,NA,NA,NA,NA
195409,0.2,NA,NA,NA,NA
195410,0.3,NA,NA,NA,NA
195411,0.1,NA,NA,NA,NA
195412,1.4,NA,NA,NA,NA
195501,-0.5,NA,NA,NA,NA
195502,1.9,NA,NA,NA,NA
195503,0.6,NA,NA,NA,NA
195504,-0.1,NA,NA,NA,NA
195505,1,NA,NA,NA,NA
195506,1.3,NA,NA,NA,NA
195507,1.6,NA,NA,NA,NA
195508,1.5,NA,NA,NA,NA
195509,1.3,NA,NA,NA,NA
195510,1.5,NA,NA,NA,NA
195511,1.2,NA,NA,NA,NA
195512,1,NA,NA,NA,NA
195601,1.3,NA,NA,NA,NA
195602,1.6,NA,NA,NA,NA
195603,1.3,NA,NA,NA,NA
195604,0.9,NA,NA,NA,NA
195605,1.4,NA,NA,NA,NA
195606,1.1,NA,NA,NA,NA
195607,1.1,NA,NA,NA,NA
195608,1.2,NA,NA,NA,NA
195609,0.1,NA,NA,NA,NA
195610,1.8,NA,NA,NA,NA
195611,0.2,NA,NA,NA,NA
195612,1.1,NA,NA,NA,NA
195701,0.6,NA,NA,NA,NA
195702,-0.1,NA,NA,NA,NA
195703,0.2,NA,NA,NA,NA
195704,0.2,NA,NA,NA,NA
195705,-0.7,NA,NA,NA,NA
195706,0.2,NA,NA,NA,NA
195707,0.2,NA,NA,NA,NA
195708,-0.5,NA,NA,NA,NA
195709,-0.9,NA,NA,NA,NA
195710,0,NA,NA,NA,NA
195711,-1,NA,NA,NA,NA
195712,-0.3,NA,NA,NA,NA
195801,-1.9,NA,NA,NA,NA
195802,-0.5,NA,NA,NA,NA
195803,0.3,NA,NA,NA,NA
195804,0.4,NA,NA,NA,NA
195805,-0.5,NA,NA,NA,NA
195806,0.3,NA,NA,NA,NA
195807,0.4,NA,NA,NA,NA
195808,0.9,NA,NA,NA,NA
195809,-0.3,NA,NA,NA,NA
195810,0.1,NA,NA,NA,NA
195811,-0.4,NA,NA,NA,NA
195812,-0.6,NA,NA,NA,NA
195901,-0.9,NA,NA,NA,NA
195902,-1.4,NA,NA,NA,NA
195903,1.3,NA,NA,NA,NA
195904,0.4,NA,NA,NA,NA
195905,0.5,NA,NA,NA,NA
195906,-0.1,NA,NA,NA,NA
195907,-0.3,NA,NA,NA,NA
195908,-0.1,NA,NA,NA,NA
195909,0,NA,NA,NA,NA
195910,0.5,NA,NA,NA,NA
195911,0.9,NA,NA,NA,NA
195912,0.9,NA,NA,NA,NA
196001,0.1,NA,NA,NA,NA
196002,0.1,NA,NA,NA,NA
196003,1,NA,NA,NA,NA
196004,0.8,NA,NA,NA,NA
196005,0.5,NA,NA,NA,NA
196006,0.1,NA,NA,NA,NA
196007,0.5,NA,NA,NA,NA
196008,0.8,NA,NA,NA,NA
196009,0.7,NA,NA,NA,NA
196010,0.1,NA,NA,NA,NA
196011,0.5,NA,NA,NA,NA
196012,0.8,NA,NA,NA,NA
196101,-0.3,NA,NA,NA,NA
196102,0.9,NA,NA,NA,NA
196103,-1.8,NA,NA,NA,NA
196104,0.8,NA,NA,NA,NA
196105,0.3,NA,NA,NA,NA
196106,0.1,NA,NA,NA,NA
196107,0.2,NA,NA,NA,NA
196108,0.2,NA,NA,NA,NA
196109,0.1,NA,NA,NA,NA
196110,-0.3,NA,NA,NA,NA
196111,0.5,NA,NA,NA,NA
196112,1.5,NA,NA,NA,NA
196201,2,NA,NA,NA,NA
196202,-0.3,NA,NA,NA,NA
196203,0.1,NA,NA,NA,NA
196204,0.2,NA,NA,NA,NA
196205,1.1,NA,NA,NA,NA
196206,0.7,NA,NA,NA,NA
196207,0.1,NA,NA,NA,NA
196208,0.6,NA,NA,NA,NA
196209,0.4,NA,NA,NA,NA
196210,1,NA,NA,NA,NA
196211,0.3,NA,NA,NA,NA
196212,0.2,NA,NA,NA,NA
196301,1,NA,NA,NA,NA
196302,0.6,NA,NA,NA,NA
196303,1.1,NA,NA,NA,NA
196304,0.8,NA,NA,NA,NA
196305,0.4,NA,NA,NA,NA
196306,-0.5,NA,NA,NA,NA
196307,-0.1,NA,NA,NA,NA
196308,0,NA,NA,NA,NA
196309,-0.6,NA,NA,NA,NA
196310,-1.2,NA,NA,NA,NA
196311,-0.8,NA,NA,NA,NA
196312,-1.2,NA,NA,NA,NA
196401,-0.4,NA,NA,NA,NA
196402,0,NA,NA,NA,NA
196403,1.1,NA,NA,NA,NA
196404,1.1,NA,NA,NA,NA
196405,0.2,NA,NA,NA,NA
196406,0.8,NA,NA,NA,NA
196407,0.6,NA,NA,NA,NA
196408,1.5,NA,NA,NA,NA
196409,1.3,NA,NA,NA,NA
196410,1.3,NA,NA,NA,NA
196411,0.2,NA,NA,NA,NA
196412,-0.3,NA,NA,NA,NA
196501,-0.4,NA,NA,NA,NA
196502,0.4,NA,NA,NA,NA
196503,0.8,NA,NA,NA,NA
196504,-0.5,NA,NA,NA,NA
196505,0.2,NA,NA,NA,NA
196506,-0.6,NA,NA,NA,NA
196507,-1.8,NA,NA,NA,NA
196508,-0.7,NA,NA,NA,NA
196509,-1.3,NA,NA,NA,NA
196510,-0.9,NA,NA,NA,NA
196511,-1.5,NA,NA,NA,NA
196512,0.2,NA,NA,NA,NA
196601,-1.3,NA,NA,NA,NA
196602,-0.2,NA,NA,NA,NA
196603,-0.9,NA,NA,NA,NA
196604,-0.2,NA,NA,NA,NA
196605,-0.4,NA,NA,NA,NA
196606,0.3,NA,NA,NA,NA
196607,0.1,NA,NA,NA,NA
196608,0.6,NA,NA,NA,NA
196609,-0.2,NA,NA,NA,NA
196610,-0.1,NA,NA,NA,NA
196611,0,NA,NA,NA,NA
196612,-0.3,NA,NA,NA,NA
196701,1.7,NA,NA,NA,NA
196702,1.7,NA,NA,NA,NA
196703,1.2,NA,NA,NA,NA
196704,0,NA,NA,NA,NA
196705,0,NA,NA,NA,NA
196706,0.6,NA,NA,NA,NA
196707,0.2,NA,NA,NA,NA
196708,0.7,NA,NA,NA,NA
196709,0.5,NA,NA,NA,NA
196710,0.1,NA,NA,NA,NA
196711,-0.4,NA,NA,NA,NA
196712,-0.6,NA,NA,NA,NA
196801,0.5,NA,NA,NA,NA
196802,1.3,NA,NA,NA,NA
196803,0.1,NA,NA,NA,NA
196804,0,NA,NA,NA,NA
196805,1.2,NA,NA,NA,NA
196806,1.1,NA,NA,NA,NA
196807,0.7,NA,NA,NA,NA
196808,0.3,NA,NA,NA,NA
196809,-0.3,NA,NA,NA,NA
196810,-0.1,NA,NA,NA,NA
196811,-0.3,NA,NA,NA,NA
196812,0.2,NA,NA,NA,NA
196901,-1.5,NA,NA,NA,NA
196902,-0.5,NA,NA,NA,NA
196903,0.4,NA,NA,NA,NA
196904,-0.4,NA,NA,NA,NA
196905,-0.2,NA,NA,NA,NA
196906,0.2,NA,NA,NA,NA
196907,-0.5,NA,NA,NA,NA
196908,-0.1,NA,NA,NA,NA
196909,-1,NA,NA,NA,NA
196910,-0.9,NA,NA,NA,NA
196911,-0.1,NA,NA,NA,NA
196912,0.4,NA,NA,NA,NA
197001,-1.1,NA,NA,NA,NA
197002,-1,NA,NA,NA,NA
197003,0.6,NA,NA,NA,NA
197004,-0.1,NA,NA,NA,NA
197005,0.4,NA,NA,NA,NA
197006,1,NA,NA,NA,NA
197007,-0.4,NA,NA,NA,NA
197008,0.6,NA,NA,NA,NA
197009,1.2,NA,NA,NA,NA
197010,1,NA,NA,NA,NA
197011,1.6,NA,NA,NA,NA
197012,1.9,NA,NA,NA,NA
197101,0.4,NA,NA,NA,NA
197102,2,NA,NA,NA,NA
197103,2.3,NA,NA,NA,NA
197104,1.7,NA,NA,NA,NA
197105,0.9,NA,NA,NA,NA
197106,0.4,NA,NA,NA,NA
197107,0.2,NA,NA,NA,NA
197108,1.5,NA,NA,NA,NA
197109,1.4,NA,NA,NA,NA
197110,1.7,NA,NA,NA,NA
197111,0.5,NA,NA,NA,NA
197112,0.3,NA,NA,NA,NA
197201,0.5,NA,NA,NA,NA
197202,1.1,NA,NA,NA,NA
197203,0.6,NA,NA,NA,NA
197204,-0.1,NA,NA,NA,NA
197205,-1.6,NA,NA,NA,NA
197206,-0.5,NA,NA,NA,NA
197207,-1.4,NA,NA,NA,NA
197208,-0.5,NA,NA,NA,NA
197209,-1.4,NA,NA,NA,NA
197210,-0.9,NA,NA,NA,NA
197211,-0.3,NA,NA,NA,NA
197212,-1.3,NA,NA,NA,NA
197301,-0.3,NA,NA,NA,NA
197302,-1.4,NA,NA,NA,NA
197303,0.7,NA,NA,NA,NA
197304,0.1,NA,NA,NA,NA
197305,0.4,NA,NA,NA,NA
197306,1.1,NA,NA,NA,NA
197307,0.6,NA,NA,NA,NA
197308,1.3,NA,NA,NA,NA
197309,1.2,NA,NA,NA,NA
197310,0.8,NA,NA,NA,NA
197311,2.6,NA,NA,NA,NA
197312,1.8,NA,NA,NA,NA
197401,2.4,NA,NA,NA,NA
197402,2.1,NA,NA,NA,NA
197403,2.4,NA,NA,NA,NA
197404,0.9,NA,NA,NA,NA
197405,1,NA,NA,NA,NA
197406,0.4,NA,NA,NA,NA
197407,1.1,NA,NA,NA,NA
197408,0.8,NA,NA,NA,NA
197409,1.1,NA,NA,NA,NA
197410,0.9,NA,NA,NA,NA
197411,-0.1,NA,NA,NA,NA
197412,0.2,NA,NA,NA,NA
197501,-0.5,NA,NA,NA,NA
197502,0.8,NA,NA,NA,NA
197503,1.6,NA,NA,NA,NA
197504,1.2,NA,NA,NA,NA
197505,0.6,NA,NA,NA,NA
197506,1.3,NA,NA,NA,NA
197507,1.9,NA,NA,NA,NA
197508,2,NA,NA,NA,NA
197509,2.1,NA,NA,NA,NA
197510,1.7,NA,NA,NA,NA
197511,1.2,NA,NA,NA,NA
197512,2.1,NA,NA,NA,NA
197601,1.4,NA,NA,NA,NA
197602,1.7,NA,NA,NA,NA
197603,1.7,NA,NA,NA,NA
197604,0.3,NA,NA,NA,NA
197605,0.4,NA,NA,NA,NA
197606,0.3,NA,NA,NA,NA
197607,-0.9,NA,NA,NA,NA
197608,-0.8,NA,NA,NA,NA
197609,-1.1,NA,NA,NA,NA
197610,0.4,NA,NA,NA,NA
197611,0.7,NA,NA,NA,NA
197612,-0.3,NA,NA,NA,NA
197701,-0.4,NA,NA,NA,NA
197702,1.2,NA,NA,NA,NA
197703,-0.5,NA,NA,NA,NA
197704,-0.4,NA,NA,NA,NA
197705,-0.5,NA,NA,NA,NA
197706,-0.9,NA,NA,NA,NA
197707,-1.1,NA,NA,NA,NA
197708,-0.8,NA,NA,NA,NA
197709,-0.8,NA,NA,NA,NA
197710,-1,NA,NA,NA,NA
197711,-1.3,NA,NA,NA,NA
197712,-1.1,NA,NA,NA,NA
197801,-0.3,NA,NA,NA,NA
197802,-2.7,NA,NA,NA,NA
197803,-0.2,NA,NA,NA,NA
197804,-0.3,NA,NA,NA,NA
197805,1.4,NA,NA,NA,NA
197806,0.7,NA,NA,NA,NA
197807,0.6,NA,NA,NA,NA
197808,0.4,NA,NA,NA,NA
197809,0.1,NA,NA,NA,NA
197810,-0.4,NA,NA,NA,NA
197811,0,NA,NA,NA,NA
197812,-0.1,NA,NA,NA,NA
197901,-0.4,NA,NA,NA,NA
197902,1,NA,NA,NA,NA
197903,0.1,NA,NA,NA,NA
197904,-0.1,NA,NA,NA,NA
197905,0.5,NA,NA,NA,NA
197906,0.6,NA,NA,NA,NA
197907,1.3,NA,NA,NA,NA
197908,-0.2,NA,NA,NA,NA
197909,0.1,NA,NA,NA,NA
197910,-0.1,NA,NA,NA,NA
197911,-0.4,NA,NA,NA,NA
197912,-0.7,NA,NA,NA,NA
198001,0.4,NA,NA,NA,NA
198002,0.3,NA,NA,NA,NA
198003,-0.4,NA,NA,NA,NA
198004,-0.6,NA,NA,NA,NA
198005,0,NA,NA,NA,NA
198006,0,NA,NA,NA,NA
198007,0,NA,NA,NA,NA
198008,0.4,NA,NA,NA,NA
198009,-0.5,NA,NA,NA,NA
198010,0,NA,NA,NA,NA
198011,-0.3,NA,NA,NA,NA
198012,-0.1,NA,NA,NA,NA
198101,0.4,NA,NA,NA,NA
198102,-0.2,NA,NA,NA,NA
198103,-1.3,NA,NA,NA,NA
198104,-0.1,NA,NA,NA,NA
198105,0.8,NA,NA,NA,NA
198106,1.2,NA,NA,NA,NA
198107,0.8,NA,NA,NA,NA
198108,0.7,NA,NA,NA,NA
198109,0.3,NA,NA,NA,NA
198110,-0.4,NA,NA,NA,NA
198111,0.2,NA,NA,NA,NA
198112,0.5,NA,NA,NA,NA
198201,1.2,NA,NA,NA,NA
198202,0.3,NA,NA,NA,NA
198203,0.6,NA,NA,NA,NA
198204,0.1,NA,NA,NA,NA
198205,-0.3,NA,NA,NA,NA
198206,-1,NA,NA,NA,NA
198207,-1.5,NA,NA,NA,NA
198208,-1.7,NA,NA,NA,NA
198209,-1.7,NA,NA,NA,NA
198210,-1.7,NA,NA,NA,NA
198211,-2.6,NA,NA,NA,NA
198212,-2.2,NA,NA,NA,NA
198301,-3.5,NA,NA,NA,NA
198302,-3.6,NA,NA,NA,NA
198303,-2.4,NA,NA,NA,NA
198304,-0.9,NA,NA,NA,NA
198305,0.6,NA,NA,NA,NA
198306,0,NA,NA,NA,NA
198307,-0.6,NA,NA,NA,NA
198308,0.1,NA,NA,NA,NA
198309,0.9,NA,NA,NA,NA
198310,0.4,NA,NA,NA,NA
198311,-0.1,NA,NA,NA,NA
198312,0,NA,NA,NA,NA
198401,0.2,NA,NA,NA,NA
198402,0.9,NA,NA,NA,NA
